tcp,speaker,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77567_02,disanius,2335,philargus,1864,philocles,1816,king,1698,thymele,1644,eudina,1615,garula,1426,doris,1423,geron,712,varillus,688,stratocles,687,placilla,652,matho,619,yyyy_1,572,justinius,496,tersulus,286,yyyy_2,229,euphathus,97,yyyy_4,79,yyyy_3,72,unassigned,17,multiple,15,all,12,both,9,rustic,7,ambo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77567_01,quicksands,2854,nat,2754,theophilus,2069,arnold,1792,millicent,1574,dionysia,1417,phillis,1399,testy,1385,buzzard,1054,rafe,753,lucy,704,vincent,617,edmund,515,meanwell,487,rashley,480,host,415,arthur,317,inductor,232,mercury,153,page,108,winlose,98,moor,84,boy,37,madge,24,unassigned,18,all,12,multiple,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77565_04,crack,5689,pyannet,2847,sarpego,2047,tryman,1685,crasy,1595,rufflit,1368,tobias,1258,linsy_wolosey,1048,ticket,980,josina,857,joan,544,bridget,464,jeremy,415,sneakup,347,lady_ticket,173,isabel,58,lady,33,linsy-woolsey,7,omnes,4,multiple,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77565_02,victoria,2602,piso,2090,paulo,1985,astutta,1239,nicolo,1188,pantaloni,1116,horatio,1103,guadagni,1079,flavia,1000,fabritio,933,francisco,877,swatzenburgh,631,nanulo,372,pedlar,333,jacomo,132,checino,75,zaffi,62,prospero,25,multiple,24,omnes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77565_01,careless,5722,lady,3730,saleware,3301,alicia,2888,wat,1841,saveall,1517,bellamie,1381,lovely,1318,thrivewell,1105,crostill,1084,bellamy_sr,554,nurse,526,phebe,351,closet,186,fitzgerrard,164,prentice,42,servant,27,unassigned,16,page,10,phib,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A73704,momus,3154,mercury,1997,plutus,464,pleasure,319,fortuna,303,poverty,297,genius,245,kingdoms,225,eternity,139,chorus,129,multiple,43,euphemia,15,homonoia,14,dicaearche,14,aletheia,13,sophia,13,eusebeia,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A73627,caesar,3020,cassius,2313,brutus,1950,anthony,1750,pompey,1269,ghost),1021,cornelia,746,titin,649,discord,646,cato_sr,468,sempronius,461,dolabella,408,octavian,396,cleopatra,396,cato_jr,345,bonus_genius,280,calpurnia,267,lord,246,antony,223,cicero,221,trebonius,218,missing,211,cato,193,casius,182,achillas,182,unassigned,127,augur,120,1_roman,98,cleopatgra,92,2_roman,86,camber,60,butas,18,omnes,14,casca,12,buco,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A72254,anteros,6643,stipes,3022,loveall,2874,lucius,2445,placenta,1955,lively,1428,pandora,1364,hook,1091,neander,931,merda,682,laurentio,644,noddle,637,phoebus,615,terpander,573,constantina,463,mungrel,457,hammershin,373,hooke,365,ursely,345,endymion,296,wiseacres,272,rustic_1,253,isabella,226,cleopes,211,rustic_2,140,zealous,139,venus,132,stutchell,128,maId_2,115,unassigned,81,thetis,80,arthur,74,bedlam,73,hugo,69,1_treble,55,maId_1,47,ganymede,40,2_treble,37,multiple,34,jack,31,chorus,29,tempest,25,william,13,luscinio,4,armstrong,3,ambo,3,allmouth,2,boy,2,omnes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A69121,clyomon,5375,clamydes,3611,shift,3428,neronis,3130,king,1696,bryan,1670,juliana,835,alexander,576,thrasellus,544,corin,482,1_lord,459,coryn,414,queen,308,mustantius,137,knowledge,113,knight,92,provi,71,2_lord,58,boatswain,58,unassigned,58,lord,50,omnes,29,ambo,22,page,19,all,12,both,11,1_knight,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A69093,d'olive,4132,vandome,3846,rhodoricke,1778,d'olivei,1671,eurione,1524,mugeroun,1060,philip,703,anne,695,vaumont,613,digue,333,marcellina,238,dicque,200,pacquc,192,lycit,38,gueaquin,35,duke,34,fripper,33,sic,30,ambo,27,cornelius,25,xxxx_2,15,page,15,servant,8,multiple,8,omnes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68918,philologus,5362,hypocrisy,3030,tyranny,1355,suggestion,1216,avarice,1097,theologus,1081,conscience,991,satan,969,cardinal,932,eusebius,796,caconos,635,mathetes,379,horror,268,nuntius,156,spirit,144,gisbertus,136,paphinitius,47,ambo,25,unassigned,17,gisbartus,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68683,benjamin,3867,vaster,2885,gripe,2213,wife,2060,valentine,1685,nice,1455,curfew,1190,robert,1151,bromley,880,abbot,665,griffin,490,thirsty,468,sager,356,anne,328,mar-maid,218,jailer,70,clark,55,brace,54,messenger,42,marian,28,all,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
