tcp,speaker,count
A07524,alexander,3702
A07524,mrs_gallipotull,3
A07528,chawgh,29
A07897,lady_bruce,448
A07907,thamesis,54
A07907,locrine,46
A07970,raven,2495
A07974,sophonisba,1042
A07974,piston,216
A07978,cicely,1208
A07978,uncle,336
A07979,bonardo,193
A08009,solstitium,225
A08065,xxxx_2,5
A08360,nuntius,217
A08469,king,475
A08469,servant_2,26
A08469,servant_1,17
A09220,paris,1085
A09220,nymph,111
A09221,muly,883
A09221,bishop,162
A09221,captain_2,54
A09221,portugal,49
A09228,david,4289
A09228,nathan,522
A09228,thamar,283
A09228,jethray,17
A09232,old_man,381
A09232,fantastic,29
A09232,corebus,29
A09857,philip,4120
A09857,mall,2328
A10402,2_scholar,270
A10407,ballio,2753
A11146,tye,434
A11146,compton,391
A11146,1_priest,133
A11146,cardinal,39
A11146,guard,16
A11151,eare,66
A11151,multiple,4
A11153,clown,1525
A11153,richard,229
A11155,medina,84
A11155,moors,5
A11205,euarchus,1522
A11205,alcon,456
A11262,all,21
A11435,ghost,390
A11909_02,unassigned,13
A11909_04,phaedrda,12
A11909_08,aegisthus,65
A11909_10,deianira,3693
A12129,thump,74
A12130,clement,152
A12130,xxxx_1,110
A12130,xxxx_3,18
A12130,xxxx_2,13
A12133,cassander,1365
A12133,sophia,820
A12135,valerio,4048
A12135,ardelia,1409
A12135,officer,14
A12137,acreless,138
A12141,crispino,268
A12141,all,13
A12145,catalina,2328
A12145,montenegro,622
A12148,borgia,2994
A12148,ursini,1275
A12149,gynecia,1366
A12149,messenger,8
A12152,gentleman,152
A12152,rufaldo,134
A12155,beauford,4079
A12548,young_fitzwater,1533
A12548,palantine,132
A12578,brusor,784
A12578,fortune,329
A12578,ferdinand,283
A12578,1_witness,12
A13062,jack,700
A13358,lord,661
A13358,valeria,436
A13358,emel,228
A13358,tom,60
A13393_01,time,384
A13393_02,alexis,304
A13393_02,francisco,164
A13613_02,gnato,1430
A13613_02,chremes,575
A13613_02,antipho,242
A13840,castabella,1168
A13840,servant,57
A13840,unassigned,19
A13843,ambitioso,908
A13843,antonio,497
A13848,unassigned,59
A14193,truepenny,21
A14599,wallace_jr,21
A14715,christian,414
A14869,contarino,783
A14869,contilupo,438
A14872,delio,1293
A14872,old_lady,42
A14872,servant_2,27
A14875,pedro,18
A15515,mars,938
A15515,scholar,226
A15515,priest,114
A15515,mor,2
A15517,conscience,514
A15517,love,314
A15517,wit,162
A15517,unassigned,68
A15519,simplicity,3080
A15549,cricket,1199
A15814,allenso,2472
A15814,1_murderer,536
A15814,vesuvio,264
A15814,officer,68
A15814,tarq,33
A15814,turqual,22
A15873,definition,6
A16527_03,lysimachus,197
A16527_03,chorus,66
A16923,lady,217
A16924,vexham,68
A17460,raymond,2586
A17460,guido,59
A17871,hour,46
A17968,gerard,117
A17968,francisco,2
A18331,sempronio,182
A18404_01,picote,474
A18421,baligny,2293
A18425,iber,15
A18426,xxxx_2,208
A18426,omnes,8
A18427,bostocke,1587
A18596,lucibella,1389
A18729,wantonness,206
A19183,iust,1001
A19183,splay,366
A19183,hugh,39
A19260,spendall,2277
A19260,lodge,38
A19346,infanta,1259
A19346,elvira,759
A19346,sancho,486
A19347,sancho,68
A19347,arias,31
A19738,cyrus,2335
A19750,1_countryman,35
A19750,2_servant,8
A19750,1_boy,4
A19755,armatrites,390
A19757,crosman,373
A19757,mufti,14
A19812_03,philotas,1099
A19812_03,antigona,311
A19812_03,attarus,34
A19816_03,dolabella,620
A19881,hermegild,4674
A19883,palatine_jr,4084
A19976,julio,31
A20065,horseleech,18
A20065,both,3
A20076,noble,25
A20083,lovell,34
A20088,malevento,1136
A20093,baptista,355
A20100,mrs_justiniano,194
A20100,birdlime,29
A20951,rede,310
A20951,ferryman,173
A21136,brian,136
A21136,sexton,10
A21144,mariner,551
A21144,lodwick,169
A21328,em,1428
A21328,ver_life,97
A21328,ambassador,82
A21411,earl,365
A21411,wat,87
A27177_01,boy,61
A27177_01,page,36
A27177_01,boy_2,4
A27177_03,lawyer,17
A27177_04,manuel,906
A27177_04,alonso,61
A27177_04,gentlewoman_1,28
A27177_05,gentleman,2185
A27177_06,lelia,3376
A27177_08,servant,198
A27177_08,constable,24
A27177_10,woman_within,54
A27177_11,multiple,4
A27177_15,gentleman_2,405
A27177_15,gentleman_1,293
A27177_15,lysimachus,168
A27177_15,magician,72
A27177_15,Phis._2,16
A27177_15,Phis._1,4
A27177_16,huntsman,6
A27177_17,franio,1502
A27177_17,julio,1384
A27177_18,delphia,2616
A27177_18,Sh._3,137
A27177_18,Sh._2,73
A27177_18,Sh._1,52
A27177_18,senator,21
A27177_19,soldier_1,28
A27177_19,Dau._1.,26
A27177_19,soldier_2,19
A27177_19,soldier_4,7
A27177_20,tibalt,2560
A27177_20,master,691
A27177_21,master,542
A27177_22,peasant_1,19
A27177_22,she,17
A27177_23,miranda,3737
A27177_23,valetta,1362
A27177_23,colonna,1008
A27177_26,lady,558
A27177_26,poop,398
A27177_27,leonidas,925
A27177_29,ph,29
A27177_29,Wife._2.,6
A27177_29,citizen_2.,5
A27177_30,gregory,1963
A27177_30,mirabel,600
A27177_30,clown,527
A27177_33,leocadia,2312
A27177_33,sanchio,1026
A27177_35,wife,9
A27203,oriana,1260
A27203,lugier,1244
A27203,mariana,33
A27203,leverdure,5
A29620,duchess,589
A29634,courtwit,129
A29635,valentine,2013
A29635,frances,860
A29635,ambrose,429
A30315,yyyy_1,42
A31675,mentz,715
A37285,chariolus,617
A37285,arethusa,310
A37285,agricola,149
A37285,pharmacoplis,112
A37285,fairy,10
A39898,spaniard,48
A41366,cleobulus,18
A41366,omnes,3
A41993,mucedorus,2066
A41993,comedy,606
A41993,king_valentia,232
A41993,mouse,12
A46230,latrocinio,1459
A49479,eleazar,247
A49479,fernando,194
A49479,xxxx_1,87
A49479,oberon,68
A49479,xxxx_3,12
A50090,lady,1247
A50090,fortune,354
A50091,creon,666
A50091,bailiff,21
A50793,2_cheat,338
A50793,glover,198
A52953,bishop,17
A53060_05,father_love,273
A53060_05,comfort,95
A53060_16,perfection,16
A53070_02,manley,14
A56872,almado,303
A57764,omnes,67
A57764,xxxx_2,65
A57764,xxxx_3,34
A57764,sawgut,27
A59979,marcello,218
A59990,cortes,248
A61942,brennoralt,2371
A61942,all,4
A62477,1_lord,263
A62477,sophos,258
A62477,thracian_lords,7
A62477,3_thr_lord,6
A65360,virginius,450
A68114,acomat,123
A68114,mahomet,75
A68655,sylana,559
A68655,bacchanall,238
A68655,sulpitius,57
A68683,wife,1640
A72254,cleopes,211
A72254,arthur,74
A73627,dolabella,408
A77567_02,disanius,2335
A77567_02,garula,1426
A77567_02,geron,712
A77567_02,justinius,496
A77567_02,rustic,7
A77567_03,damaris,162
A77567_03,mihil,61
A77567_05,soldier,8
A85334_01,trizham,109
A85334_01,armenia,108
A85334_01,soldiers,42
A85334_02,eurenoses,629
A93170,citizen_1,246
A93170,citizen_2,219
B07101,chorus,71
