tcp,speaker,count
A07237,post,34
A07492,lazarillo,300
A01772,parthenia,2133
A07504,rafe,40
A04941,bel,428
A20065,both,3
A37285,agricola,149
A07003,all,24
A11435,ghost,390
A04881,dash,244
A85334_01,soldiers,42
A27177_11,multiple,4
A77567_02,rustic,7
A06252,boy,198
A14869,contarino,783
A06991,abbess,25
A11153,richard,229
A27177_17,franio,1502
A01513_02,polynices,1619
A11262,all,21
A27177_04,alonso,61
A01775,lactantio,300
A65360,virginius,450
A72254,cleopes,211
A68114,mahomet,75
A11155,medina,84
A27203,lugier,1244
A68114,acomat,123
A01055,cucullus,35
A14872,delio,1293
A11909_04,phaedrda,12
A07063,flavia,39
A21411,wat,87
A12152,rufaldo,134
A20100,mrs_justiniano,194
A06270,verdugo,164
A01049,fabrichio,204
A12133,sophia,820
A73627,dolabella,408
A11146,guard,16
A12133,cassander,1365
A04632_09,lentulus,330
A06975,phylocles,218
A27177_23,miranda,3737
A20083,lovell,34
A19883,palatine_jr,4084
A07065,crispinella,187
A07004_02,gazellus,137
A12145,montenegro,622
A12137,acreless,138
A12145,catalina,2328
A19755,armatrites,390
A12578,ferdinand,283
A16527_03,chorus,66
A07004_01,mycetes,875
A21136,sexton,10
A03217,2_lord,259
A19750,2_servant,8
A03223_02,synon,3345
A01777,questenberg,217
A12148,borgia,2994
A03223_02,astianax,87
A77567_05,soldier,8
A04658,frampul,151
A04632_06,notario,24
A06622,dromio,16
A03224_02,burgundy,477
A07238,flacilla,177
A13840,castabella,1168
A04874,andrew,503
A27177_06,lelia,3376
A13358,valeria,436
A12130,xxxx_1,110
A12130,xxxx_3,18
A12130,xxxx_2,13
A27177_15,gentleman_2,405
A07507,whin,10
A27177_15,gentleman_1,293
A61942,brennoralt,2371
A21144,lodwick,169
A21136,brian,136
A07004_01,virgin,82
A07024,fiddler,789
A16527_03,lysimachus,197
A19347,arias,31
A03223_01,achilles,1376
A13843,ambitioso,908
A14599,wallace_jr,21
A27177_30,mirabel,600
A07507,lussurioso,72
A19346,elvira,759
A03405,steward,131
A53060_05,father_love,273
A27177_22,she,17
A57764,xxxx_3,34
A57764,xxxx_2,65
A15517,love,314
A19260,lodge,38
A50091,creon,666
A19738,cyrus,2335
A15515,mars,938
A27177_15,Phis._1,4
A03197,both,6
A27177_15,Phis._2,16
A11146,compton,391
A07063,lucio,234
A27177_18,senator,21
A15814,vesuvio,264
A03256,nicholas,1093
A77567_03,mihil,61
A06622,xxxx_3,15
A57764,omnes,67
A29634,courtwit,129
A56872,almado,303
A18331,sempronio,182
A03804,pictland,32
A46230,latrocinio,1459
A12135,valerio,4048
A07907,thamesis,54
A12149,messenger,8
A27177_18,Sh._1,52
A06975,prate,467
A27177_18,Sh._3,137
A27177_18,Sh._2,73
A27177_20,master,691
A62477,3_thr_lord,6
A12135,officer,14
A01773,doctor,1118
A09232,corebus,29
A12130,clement,152
A93170,citizen_1,246
A93170,citizen_2,219
A04206,rebecca,2547
A11146,tye,434
A07330,antonius,2503
A06975,shavings,54
A12135,ardelia,1409
A07240,aurelia,1141
A77567_03,damaris,162
A29635,frances,860
A03405,astraea,29
A01253,justiniano,1237
A07492,truepenny,41
A14193,truepenny,21
A02070,ned,173
A59990,cortes,248
A07004_02,trebizond,138
A53060_16,perfection,16
A02629,mercury,122
A18404_01,picote,474
A19260,spendall,2277
A07507,proditor,831
A13393_02,francisco,164
A12152,gentleman,152
A00966,mrs_newlove,490
A09220,paris,1085
A10407,ballio,2753
A03224_02,captain,75
A02827,amphibius,95
A06991,yyyy_2,285
A06991,yyyy_1,433
A68655,bacchanall,238
A07332,britannicus,127
A07239,multiple,6
A18425,iber,15
A21328,ambassador,82
A07330,lucilius,223
A07246,gazet,1520
A13613_02,antipho,242
A18729,wantonness,206
A07023,ganymede,137
A16923,lady,217
A59979,marcello,218
A13848,unassigned,59
A06975,watch_1,5
A06975,watch_2,11
A50793,2_cheat,338
A07238,cleon,374
A07974,piston,216
A85334_01,trizham,109
A27177_17,julio,1384
A19346,infanta,1259
A19347,sancho,68
A04632_04,chloe,36
A09221,portugal,49
A57764,sawgut,27
A13843,antonio,497
A50091,bailiff,21
A41366,cleobulus,18
A18596,lucibella,1389
A53070_02,manley,14
A41993,mucedorus,2066
A07974,sophonisba,1042
A01047,huntley,1926
A04658,prudence,2193
A27177_29,Wife._2. ,6
A07003,lord,6
A21144,mariner,551
A02070,willy,124
A27177_19,soldier_4,7
A62477,thracian_lords,7
A27177_19,soldier_2,19
A27177_19,soldier_1,28
A15515,scholar,226
A13393_02,alexis,304
A19750,1_boy,4
A02091,crocon,89
A11153,clown,1525
A19346,sancho,486
A15517,wit,162
A01052,castanna,478
A15814,officer,68
A27177_01,boy_2,4
A68683,wife,1640
A08469,servant_1,17
A11909_02,unassigned,13
A08469,servant_2,26
